pair_id,stratum,snag_a,snag_b,text_a,text_b,nn_similarity,label,labeller
11,nn,108712,127736,CORROSION FLOOR FITTING BEHIND ACCESS 108 (1EA) AND (1EA) IN FRONT ACCESS 107 ON GALLEY 1. FLOOR FITTINGS BEHIND ACCESS 108 (1EA) AND IN FRONT ACCESS 107 (1EA) ON GALLEY 1 WERE REPLACED PER SAFRAN CMM 25-33-96,CORROSION FLOOR FITTING BEHIND ACCESS 108 (1EA) AND IN FRONT ACCESS 107 (1EA) ON GALLEY 1. FLOOR FITTING IN FRONT ACCESS 107 (1 EA) WAS REPLACED PER SAFRAN CMM 25-33-67 AND FLOOR FITTING BEHIND ACCESS 108 (1EA) WAS FABRICATED PER EA CRJ953-21146. REV IR AND INSTALLED PER CMM 25-33-67 ON GALLEY 1,0.9650101661682128,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
12,nn,100838,87412,AFT BAGGAGE BAY DOOR HANDLE HOUSING HAS NUMEROUS GOUGES (C-CHECK RO 11/26/2024) AFT CARGO DOOR HANDLE HOUSING IS OUT OF LIMITS PER REO 670-52-31-031 REV -B DATE 2016-12-07. REMOVED AND INSTALLED 1EA NEW AFT CARGO DOOR HANDLE HOUSING PER CRJ700SRM 51-42-21-001-001-A01 AND DWG 601R35027 REV AY. OPS TEST GOOD. LEAK CHECK GOOD. COMPLIED WITH SKYWEST TASK CARD 51-900-1002-SKY. SEE CONTINUATION FOR DETAILS.,"AFT BAGGAGE BAY DOOR HANDLE HOUSING HAS NUMEROUS GOUGES (C-CHECK RO 5/6/2024)NEW AFT BAGGAGE DOOR HANDLE HOUSING ASSY, P/N H3415-31, S/N 2020, INSTALLED IAW CRJ 900 AMM 52-31-03-400-801-A01 AND CRJ 900 SRM 51-42-21-001-001-A01 AND REFERENCE DWG CC670-38702 REV.-F. OPS CHECK GOOD SEE CONTINUE CARD FOR DETAILSCOMPLIED WITH TASK 51-900-1002-SKY",0.877184655582448,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
13,nn,107259,105747,CORROSION FWD CARGO BAY R/H FLOOR TO SIDEWALL SUPPORT PLATE MULTIPLE AREAS AROUND NUT PLATE HOLES BS500A TO BS500I RBL22 WL156<[01] REMOVED FWD CARGO BAY R/H FLOOR TO SIDEWALL SUPPORT PLATE; LOCATED; DRILLED AND INSTALLED NEW FWD CARGO BAY R/H FLOOR TO SIDEWALL SUPPORT PLATE IAW SRM 51-40-05-0G-0; SRM 51-40-02-0G-0 AND DWG 143A7500.;[02] VERIFIED CORRECTIVE ACTION 1,CORROSION FWD CARGO BAY R/H FLOOR TO SIDEWALL SUPPORT PLATE MULTIPLE AREAS AROUND NUT PLATE HOLES BS500A TO BS500I RBL22 WL156<[01] DAMAGED R/H FLOOR TO SIDEWALL SUPPORT PLATE; REPLACED DUE NO DATA FOUND ON SRM. NEW FLOOR TO SIDEWALL SUPPORT PLATE LOCATED; DRILLED AND INSTALLED IAW SRM 51-40-02-0G-0; 51-40-05-0G-0 AND DWG 143A7500. ID: 0095 REV: -;[02] VERIFIED ALL STEPS; CORRECTION ACTION ITEM 1; MEASUREMENT FIELD COMPLETE; CARD COMPLETE.,0.9505494042085206,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
14,nn,109350,109349,AIRCRAFT WAS NOT GROUNDED: MANUAL GEAR EXTENSION ACCESS DOOR OPEN LIGHT INOPERATIVE. REPLACED ANNUNCIATOR (AALA202505083345) AND DIMMING (AALA202512025057) MODULE. PER AMM 33-18-00. OPERATIONAL CHECK GOOD.,AIRCRAFT WAS NOT GROUNDED: MANUAL GEAR EXTENSION ACCESS DOOR OPEN LIGHT INOPERATIVE. REPLACED ANNUNCIATOR (AALA202505083345) AND DIMMING (AALA202512025057) MODULE. PER AMM 33-18-00. OPERATIONAL CHECK GOOD.,1.0,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
15,nn,74565,148253,"FLT#1926, LGW-BOS. (ETOPS) 'COND TRIM AIR SYS FAULT - COCKPIT TRIM VLV ECAM ( COCKPIT/CABIN TRIM AIR VALVES ); PERFORMED A VISUAL INSP AND CLEANED CKPT TEMP SENSOR IAW AMM 21-63-17. PERFORMED OPS CHK OF CKPT AND CABIN TEMP CONTROL SYS IAW AMM 21-63-00. OPS CHECK GOOD. NO FAULTS NOTED. MDDR CLEARED. MX-4 UPDATED. PLACARD REMOVED.","FLT#33, BOS-CDG. (ETOPS) COND TRIM AIR SYS FAULT - FWD CAB TRIM VALVE INDICATED ON ECAM WHILE TAXING TO GATE. ( COCKPIT/CABIN TRIM AIR VALVES ); REMOVED AND REPLACED FWD CAB TRIM AIR VALVE 12HK. OPS CHECK GOOD. THIS CLEARS MDDR 567961, MX-4 UPDATED PLACARD REMOVED.",0.7912061352002028,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
16,nn,148676,42730,DURING HEAVY INSPECTION FOUND LH ENG PYLON INBD LUG CRACKED. REPAIRED IAW EMB SB-170-54-0018 ALSO REF CDR-002905-2024 FOR WORK ACCOMPLISHED.,DURING HEAVY CHECK FOUND RH PYLON OUTBD AFT LUG CRACKED. REPLACED LUG FITTING IAW SB170-54-0018 ALSO REF CDR-001487-2024 ON SWO-000698-2024 AND ETD2024-120-020044 FOR WORK PERFORMED.,0.7784313195476416,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
17,nn,126518,126516,RH WING FIXED LEADING EDGE CHAFFED AT #2 PYLON. REPAIRED,LH WING FIXED LEADING EDGE CHAFFED AT #1 PYLON. REPAIRED,0.9777119729175604,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
18,nn,131113,131112,EMERGENCY LIGHTS CONTROLLED BY BATTERY PACK M2335 ARE INOP.<[01] 01 - REMOVED AND REPLACED BATTERY PACK; OP CK GOOD PER [AMM 33-51-06-960-805-NG (POWER SUPPLY - BATTERY PACK REPLACEMENT - PERMANENT)];[02] INSPECTION COMPLETE ON CORRECTIVE ACTION #1 FOR REPLACEMENT OF BATTERY PACK AND SATISFACTORY OPS CHECK.,EMERGENCY LIGHTS CONTROLLED BY BATTERY PACK M1695 ARE INOP.<[01] 01 - REMOVED AND REPLACED BATTERY PACK; OP CK GOOD PER [AMM 33-51-06-960-805-NG (POWER SUPPLY - BATTERY PACK REPLACEMENT - PERMANENT)];[02] INSPECTION COMPLETE ON CORRECTIVE ACTION #1 FOR REPLACEMENT OF BATTERY PACK AND SATISFACTORY OPS CHECK.,0.9664484938505972,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
19,nn,77499,108340,CRACK ON SUPPORT ANGLE LOCATED AUXILIARY TRACK INBOARD POSITION OF SLAT 8 AT RT WING 2025-224502<[01] REPLACED SKIN TAB SUPPORT ANGLE LOCATED ON AUXILIARY TRACK INBOARD POSITION OF SLAT 8 AT RT WING I.A.W. B737-700 CMM 57-43-01. SEE INDIVIDUAL SIGN OFF BELOW.;[02] REPLACED SKIN TAB SUPPORT ANGLE LOCATED ON AUXILIARY TRACK INBOARD POSITION OF SLAT 8 AT RT WING I.A.W. B737-700 CMM 57-43-01. SEE INDIVIDUAL SIGN OFF BELOW.,"CRACK SUPPORT ANGLE ON AUXILIARY TRACK SLAT 8 INBOARD POSITION AT RT WING. REPLACED SUPPORT ANGLE ON AUXILIARY TRACK SLAT 8 INBD POSITION AT RT WING IAW CMM-57-43-01, PAGE 702, STEP 3 C, ITEM 9.",0.9149385760559894,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
20,nn,95997,95996,LEFT HORIZONTAL STABILIZER L/E RIB #5 FROM I/B SIDE HAS CRACK.<[01] SUMMARY: REMOVED LEFT HORIZONTAL STABILIZER L/E RIB #5 AS PER B 737 SRM 51-40-02-0G-0.LOCATED AND DRILLED NEW #5 RIB PART # 186A1305-1 AS PER B 737 SRM 51-40-05-0G-0.INSTALLED AT LEFT HORIZONTAL STAB L/E RIB#5 AS PER REF B/737 SRM 5140-02-0G-0 AND DW 186A1305.;[02] VERIFIED STEP 1,LEFT HORIZONTAL STABILIZER L/E RIB #9 FROM I/B SIDE HAS CRACK.<[01] SUMMARY: REMOVED RIB #9 AT LEFT HORIZONTAL STAB L/E AS PER REF B/737 SRM 51-40-02-0G-0.LOCATED AND DRILLED NEW RIB AT LEFT HORIZONTAL STAB L/E RIB # 9 AS PER REF B/737 SRM 51-40-05-0G-0.INSTALLED #9 RIB AT LEFT HORIZONTAL STAB AS PER REF B/737 SRM 51-40-02-0G-0 AND DW186A1001.;[02] VERIFIED STEP 1.,0.9366572906545688,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
21,nn,116036,73224,"""STRINGER 19R IS CORRODED BETWEEN FS 613.00 AND FS 645.00. STRINGER 19R BETWEEN FS 613.00 AND FS 645.00HAS STARTED TO BE BLENED IAW CRJ 700 SRM 51-21-06-001-001-A01 MORE CORROSION NEEDS REMOVED AND LIMITS TAKEN. STRINGER 19R IS CORRODED BETWEEN FS 613.00 AND FS 645.00 REMOVED CORROSION IAW CRJ 700 SRM 51-21-06-001-001-A01. UPON FURTHER INVESTIGATION FOUND A PUNCTURE RIGHT BESIDE A RIVET HOLE, FOUND TO BE """"OUT OF LIMIT"""" NO PUNCTURES ALLOWED. IAW CRJ-700 SRM 53-31-03-101-004-A01. REMOVED AND INSTALLED ALL FASTENERS O STRINGER19R IAW CRJ700 SRM 51-42-06-001-001-A01. REMOVED AND INSTALLED ALL SOLID FASTENERS IN SKIN BETWEEN STR 20R AND STR 15R FROM FS469 TO FS524 IAW CRJ700 SMR 51-42-06-001-001-A01. REMOVED AND INSTALLED HI-LITES AT FS465 BETWEEN STR20R AND STR19R. IAW CRJ700 SRM 51-42-21-001-001-A01. REMOVED AND INSTALLED RH ABOVE-FLOOR BOTTOM DUCT IAW CRJ-700 AMM 21-23-04-400-801 LEAK CHECK GOOD. REMOVED AND REINSTALLED STRING 19R SPLICE AT FS. 518 IAW CRJ700 SRM 51-42-06-001-001-A01. REMOVED AND REINSTALLED CLEATS FROM FS 485 TO FS 613 P/N SH670-35625-2 ON STRG 19R IAW CRJ700 SRM 51-42-06-001-001-A01. REMOVED OLD AND INSTALLED NEW STRINGER AT STR 19R BETWEEN FS477 TO FS661, P/N: SH690-31358-2A. IAW CRJ-700 SRM 51-42-06-001-001-A01. LOCATED AND DRILLED NEW STR19R BETWEEN FS 477 TO FS661 IAW CRJ-700 SRM 51-40-11-001-001-A01. P/N: SH690-31358-2A. APPLIED EDGE SEALANT AND PAINTED RIVETS FROM FS 469 TO FS 613 AND FS 629 TO FS 677 IAW CRJ700 SRM 1-21-16-001-001-A01 AND 51-23-00-001-001-A01. COMPLIED WITH CR700 SRM 53-00-03-201-001-A01. ""","FOUND MULTIPLE CORRODED FASTNERS IN STR 20R BETWEEN FS 319 AND FS 333. EVALUATED AND FOUND TO BE OUT OF LIMIT DUE TO NO DAMAGE ALLOWED ON THIS AREA, IAW CRJ-700 SRM 53-21-03-101-002-A01. LOCATED AND DRILLED NEW SERVICEABLE STRINGER AT STR 20R P/N: SH670-32428-3 BETWEEN FS 319 AND FS 333 IAW CRJ-700 SRM 51-40-11-001-001-A01. INSTALLED STRINGER AT STR 20R P/N: SH670-32428-3 BETWEEN FS 319 AND FS 333, IAW CRJ700 SRM 51-42-21-001-001-A01, 51-42-06-001-001-A01",0.8684868263845562,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
22,nn,133085,133084,CRACKED AFT HINGE OF FLAP STEP PLATE AT AFT BAGGAGE BAY DOOR CUTOUT AFT HINGE OF FLAP STEP PLATE AT AFT BAGGAGE BAY DOOR CUTOUT WERE REPLACED PER CRJ-900 SRM 51-42-06-001-001-A01,CRACKED MIDDLE HINGE OF FLAP STEP PLATE AT AFT BAGGAGE BAY DOOR CUTOUT MIDDLE HINGE OF FLAP STEP PLATE AT AFT BAGGAGE BAY DOOR CUTOUT WERE REPLACED PER CRJ-900 SRM 51-42-06-001-001-A01,0.981718567269831,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
23,nn,22761,79789,(LOG 1060122) TWO CRACKS OF 0.320 IN LENGTH AND 0.125 IN LENGTH ON ATTACH ANGLE (DRAIN HOLE/SLOT AREA) AT RH VERTICAL PRESSURE DECK WEB. TWO CRACKS OF 0.320 IN LENGTH AND 0.125 IN LENGTH ON ATTACH ANGLE (DRAIN HOLE/SLOT AREA) AT RH VERTICAL PRESSURE DECK WEB WERE REPAIRED PER B737-800 SRM 57-10-10-2R PROCEDURE 6 REPAIR 6.,(LOG 0539743) CRACK OF 0.75IN LENGTH ON LH VERTICAL PRESSURE DECK WEB ATTACH ANGLE AT THE DRAIN HOLE/SLOT. LH VERTICAL PRESSURE DECK WEB ATTACH ANGLE AT THE DRAIN HOLE/SLOT WAS REPAIRED PER B737-800 SRM 57-10-10-2R PROCEDURE 6 REPAIR 6.,0.9426427977042584,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
24,nn,104491,69872,DURING SERVICE CHECK FOUND EMREGENCY AISLE LIGHTS ROW 9 ABC AND ROW 12 ABC INOP. R/R EMERGENCY POWER SUPPLY/BATTERY PACK IAW AMM 33-51-06/201 A/C OK FOR SERVICE POS M2335,(LOG 5568534) DURING SERVICE CHECK FOUND AISLE EMERGENCY LIGHT ABOVE SEAT ROW 30 ABC INOP. REMOVED AND REPLACED POWERSUPPLY AND BATTERY FOR EMERGENCY LIGHT ABOVE SEAT ROW 30 ABC IAW B737 AMM CH 33-51. OPS CHECK GOOD.,0.7889911012913087,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
25,nn,127655,43600,**CORROSION** FWD CARGO R/H SIDE PLATE UPPER SURFACE BETWEEN STA 492 TO 500A RBL 21.80 HAS CORROSION AROUND FASTENERS HOLES MKD (107-005)<[01] (FINAL) REMOVED CORROSION AROUND FASTENER HOLES FROM FWD CARGO R/H SIDE PLATE UPPER SURFACE BETWEEN STA 492 TO STA 500A RBL 21.80' PER B737-700 SRM 51-10-02-0G-0. AND; PERFORMED SURFACE ROUGHNESS TEST ON REWORKED AREA; FOUND IT TO BE SMOOTHER THAN 125 MICROINCHES RA. TOOL USED B/C: 172329. NO CALIBRATION DUE DATE. LOCATED AND DRILLED NEW FWD CARGO COMPARTMENT DOOR AFT SHIELD PER B737-700 PER SRM 51-40-05-0G-0. INSTALLED NEW FWD CARGO COMPARTMENT DOOR AFT SHIELD PER B737-700 DWG# 143A0080 AND SRM 51-40-02-0G-0.;[02] (CORRECTION STEP 1) REMOVED CORROSION AROUND FASTENER HOLES FROM FWD CARGO R/H SIDE PLATE UPPER SURFACE BETWEEN STA 492 TO STA 500A RBL 21.80' PER B737-700 SRM 51-10-02-0G-0. AND; PERFORMED SURFACE ROUGHNESS TEST ON REWORKED AREA; FOUND IT TO BE SMOOTHER THAN 125 MICROINCHES RA. TOOL USED B/C: 172329. NO CALIBRATION DUE DATE. EVALUATED REWORKED AREA ORG MAT .032' MAT REMAINING .022' MAT REMOVED .010' FOUND TO BE OUT OF LIMITS AS PER B 737 SRM 53-00-53-1A-2. LOCATED AND DRILLED NEW FWD CARGO COMPARTMENT DOOR AFT SHIELD PER B737-700 PER SRM 51-40-05-0G-0. INSTALLED NEW FWD CARGO COMPARTMENT DOOR AFT SHIELD PER B737-700 DWG# 143A0080 AND SRM 51-40-02-0G-0.;[03] VERIFIED STEP 2.,CORROSION AFT CARGO BAY SHIELD FWD OF CARGO DOOR AROUND MULTIPLE NUT PLATE HOLES BS767+3 TO BS794 RBL22 WL156<[01] VERIFIED STEP 4 IN PARTIAL.;[02] VERIFIED STEP 4 COMPLETE; (UPDATED).;[03] CORROSION ON AFT CARGO BAY SHIELD FWD OF CARGO DOOR; FOUND TO BE OUT OF LIMITS DUE TO NO LIMITS ARE GIVEN IN THE SRM. REMOVED; REPLACED AND INSTALLED NEW SHIELD AT BS 767 TO BS 794 RBL 22 WL 156 PER SRM 51-40-02-0G-0; SRM 51-40-05-0G-0 AND DWG 146A0081.;[04] VERIFIED CORRECTIVE ACTION 3 AND MEASUREMENT TABLE,0.7865479842963293,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
26,nn,125995,125991,FWD CABIN FLOOR PANEL 231AF HAS PEELED UPPER SURFACE LAYER FIBERS. 124-045<[01] RECEIVED NEW FLOOR PANEL 231AF; IT WILL BE INSTALLED ON TTG8Q00SCGXX.;[02] VERIFIED STEP 1.,FWD CABIN FLOOR PANEL 231CF HAS PEELED UPPER SURFACE LAYER FIBERS. 124-047<[01] RECEIVED FWD CABIN FLOOR PANEL 231CF WILL BE INSTALL ON ITEM TTG8Q00SCGXT;[02] VERIFIED STEP 1,0.9372012094019668,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
27,nn,75161,78591,FLIGHT DECK; P18 SUPPORT BRACKET BS259 SRT 8L CRACK<[01] REMOVED AND REPLACED BRACKET ON BS259 SRT 8L FLIGHT DECK; P18 I.A.W SRM 51-10-02-0G-0; SRM 51-40-02-0G AND DWG141A0720.;[02] VERIFIED CORRECTIVE ACTION ENTRY 1.,"CRACKED SUPPORT BRACKET, BS 947.5, STR25L. REPLACED SUPPORT BRACKET, BS 947.5, STR25L IAW SRM 51-10-02-0G-0 ITEM 9, SRM 51-40-02-0G-0, AND DWG 149A8103 SHEET: 7 REV A .",0.7388967586879298,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
28,nn,152420,53688,ETOPS - ENG 1 FIRE LOOP B FAULT. REMOVED AND REPLACED ENG 1 LOOP B HARNESS ASSLY (4166KS) PER AMM 26-12-62 BITE TEST GOOD. PERFORMED ENGINE RUN AS PRECAUTION NO FAULTS NOTED.,"ETOPS - ENG 1 LOOP B FAULT. REPLACED ENG 1 LOOP B FIRE HARNESS PER A321 AMM 26-12-62 OPS CHECK GOOD , OK FOR SERVICE",0.8987777059410053,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
29,nn,93883,93888,CRACKED ATTACH ANGLE AT MIN CABIN BS 691; LBL 1; WL 207<[01] REMOVED AND REPLACED ATTACH ANGLE AT MIN CABIN BS691 LBL 1; WL207 I.A.W SRM 51-40-02-0G-0 AND BOEING DWGS 111A6002 REV: -; 273A9111 REV: -;[02] CORRECTIVE ACTION ITEM 1 VERIFIED; CARD COMPLETE.,CRACKED ATTACH ANGLE AT MIN CABIN BS 691; RBL 1; WL 207<[01] REMOVED AND REPLACED ATTACH ANGLE AT BS 691; RBL 1; WL 207 I.A.W SRM 51-40-02-0G-0 AND BOEING DWGS 111A6002 REV: -; 273A9111 REV: -;[02] CORRECTIVE ACTION ITEM 1 VERIFIED; CARD COMPLETE.,0.9782105114209112,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
30,nn,111281,111280,"AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS NOT DECLARED DUE TO: FILTER BYPASS LIGHT NUMBER 2 ENGINE ILLUMINATED IN FLIGHT; AIRCRAFT AIR INTERRUPTED BACK TO AND LANDED SAFELY AT MIA. REMOVED AND REPLACED NUMBER 2 ENGINE FUEL FILTER (AALA202404263232) AND FUEL FILTER DIFFERENTIAL SWITCH (AALA202404261990), ACCOMPLISHED ENGINE RUM CHECK GOOD. PER AMM 73-11-02 AND 73-34-01.","AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS NOT DECLARED DUE TO: FILTER BYPASS LIGHT NUMBER 2 ENGINE ILLUMINATED IN FLIGHT; AIRCRAFT AIR INTERRUPTED BACK TO AND LANDED SAFELY AT MIA. REMOVED AND REPLACED NUMBER 2 ENGINE FUEL FILTER (AALA202404263232) AND FUEL FILTER DIFFERENTIAL SWITCH (AALA202404261990), ACCOMPLISHED ENGINE RUM CHECK GOOD. PER AMM 73-11-02 AND 73-34-01.",1.0,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
