code,chapter,title,system
6500,65,Tail Rotor Drive,Propeller / Rotor
6700,67,Rotors Flight Control,Propeller / Rotor
7100,71,Power Plant,Power plant
7110,71,Power Plant - Cowling,Power plant
7120,71,Power Plant - Mounts,Power plant
7130,71,Power Plant - Fireseals,Power plant
7140,71,Power Plant - Attach Fittings,Power plant
7150,71,Power Plant - Electrical Harness,Power plant
7160,71,Power Plant - Air Intakes,Power plant
7170,71,Power Plant - Engine Drains,Power plant
7200,72,Engine (Turbine / Turboprop),Power plant
7210,72,Engine (Turbine / Turboprop) - Reduction Gear / Shaft,Power plant
7220,72,Engine (Turbine / Turboprop) - Air Inlet Section,Power plant
7230,72,Engine (Turbine / Turboprop) - Compressor Section,Power plant
7240,72,Engine (Turbine / Turboprop) - Combustion Section,Power plant
7250,72,Engine (Turbine / Turboprop) - Turbine Section,Power plant
7260,72,Engine (Turbine / Turboprop) - Accessory Drives,Power plant
7270,72,Engine (Turbine / Turboprop) - By-pass Section,Power plant
7300,73,Engine Fuel and Control,Power plant
7310,73,Engine Fuel and Control - Distribution,Power plant
7320,73,Engine Fuel and Control - Controlling,Power plant
7330,73,Engine Fuel and Control - Indicating,Power plant
7400,74,Ignition,Power plant
7410,74,Ignition - Electrical Power Supply,Power plant
7420,74,Ignition - Distribution,Power plant
7430,74,Ignition - Switching,Power plant
7500,75,Air (Engine),Power plant
7510,75,Air (Engine) - Engine Anti-Icing,Power plant
7520,75,Air (Engine) - Cooling,Power plant
7530,75,Air (Engine) - Compressor Control,Power plant
7540,75,Air (Engine) - Indicating,Power plant
7600,76,Engine Controls,Power plant
7610,76,Engine Controls - Power Control,Power plant
7620,76,Engine Controls - Emergency Shutdown,Power plant
7700,77,Engine Indicating,Power plant
7710,77,Engine Indicating - Power,Power plant
7720,77,Engine Indicating - Temperature,Power plant
7730,77,Engine Indicating - Analyzers,Power plant
7740,77,Engine Indicating - Integrated Engine Instrument Systems,Power plant
7800,78,Exhaust,Power plant
7810,78,Exhaust - Collector / Nozzle,Power plant
7820,78,Exhaust - Noise Suppressor,Power plant
7830,78,Exhaust - Thrust Reverser,Power plant
7840,78,Exhaust - Supplementary Air,Power plant
7900,79,Oil,Power plant
7910,79,Oil - Storage,Power plant
7920,79,Oil - Distribution,Power plant
7930,79,Oil - Indicating,Power plant
8000,80,Starting,Power plant
8010,80,Starting - Cranking,Power plant
8100,81,Turbines (Reciprocating),Power plant
8200,82,Water Injection,Power plant
8300,83,Accessory Gearboxes,Power plant
8500,85,Reciprocating Engine,Power plant
